"filename", "language", "Python", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\Heezy\Documents\Masterarbeit\original_yt\pytorch-stable-diffusion\sd\add_noise.ipynb", "JSON", 0, 0, 86, 0, 1, 87
"c:\Users\Heezy\Documents\Masterarbeit\original_yt\pytorch-stable-diffusion\sd\app.py", "Python", 83, 0, 0, 5, 26, 114
"c:\Users\Heezy\Documents\Masterarbeit\original_yt\pytorch-stable-diffusion\sd\attention.py", "Python", 57, 0, 0, 36, 30, 123
"c:\Users\Heezy\Documents\Masterarbeit\original_yt\pytorch-stable-diffusion\sd\clip.py", "Python", 48, 0, 0, 23, 26, 97
"c:\Users\Heezy\Documents\Masterarbeit\original_yt\pytorch-stable-diffusion\sd\ddpm.py", "Python", 74, 0, 0, 21, 29, 124
"c:\Users\Heezy\Documents\Masterarbeit\original_yt\pytorch-stable-diffusion\sd\decoder.py", "Python", 75, 0, 0, 48, 55, 178
"c:\Users\Heezy\Documents\Masterarbeit\original_yt\pytorch-stable-diffusion\sd\demo.ipynb", "JSON", 0, 0, 158, 0, 1, 159
"c:\Users\Heezy\Documents\Masterarbeit\original_yt\pytorch-stable-diffusion\sd\diffusion.py", "Python", 160, 0, 0, 89, 101, 350
"c:\Users\Heezy\Documents\Masterarbeit\original_yt\pytorch-stable-diffusion\sd\encoder.py", "Python", 39, 0, 0, 38, 29, 106
"c:\Users\Heezy\Documents\Masterarbeit\original_yt\pytorch-stable-diffusion\sd\model_converter.py", "Python", 1051, 0, 0, 1, 4, 1056
"c:\Users\Heezy\Documents\Masterarbeit\original_yt\pytorch-stable-diffusion\sd\model_loader.py", "Python", 21, 0, 0, 0, 7, 28
"c:\Users\Heezy\Documents\Masterarbeit\original_yt\pytorch-stable-diffusion\sd\pipeline.py", "Python", 118, 0, 0, 32, 27, 177
"c:\Users\Heezy\Documents\Masterarbeit\original_yt\pytorch-stable-diffusion\sd\templates\index.html", "HTML", 0, 84, 0, 0, 10, 94
"Total", "-", 1726, 84, 244, 293, 346, 2693